QueryId,DocumentId,content_length,title_length,anchors_length
202,clueweb12-1300wb-41-17656,1012,3,0
202,clueweb12-1200wb-30-18551,1482,8,84
202,clueweb12-1909wb-65-23698,653,17,48
202,clueweb12-0307wb-14-10525,128,5,2
202,clueweb12-1715wb-42-07042,461,2,78
202,clueweb12-0206wb-61-12908,349,6,6
202,clueweb12-0100tw-12-07624,2224,6,67
202,clueweb12-1100tw-35-08357,977,4,12
202,clueweb12-0302wb-25-22790,504,8,10
202,clueweb12-1200wb-95-00626,863,4,39
202,clueweb12-0800tw-32-12258,700,8,16
202,clueweb12-1117wb-31-15779,2763,4,1365
202,clueweb12-0209wb-09-11391,689,8,45
202,clueweb12-0013wb-45-00465,1426,8,28
202,clueweb12-0900tw-05-12646,462,8,0
202,clueweb12-1116wb-59-18964,303,7,0
202,clueweb12-0100wb-98-08558,5265,5,1414
202,clueweb12-1013wb-15-21838,554,6,18
202,clueweb12-0511wb-25-03910,1207,4,304
202,clueweb12-0211wb-82-32886,1179,3,48
202,clueweb12-1600wb-83-17270,575,0,10
202,clueweb12-0405wb-59-02836,2164,8,5
202,clueweb12-1512wb-89-10326,2835,7,222
202,clueweb12-0209wb-80-33566,1058,8,54
202,clueweb12-1100wb-60-04970,1122,5,2
202,clueweb12-0815wb-27-27558,278,8,0
202,clueweb12-1013wb-51-06456,1091,4,630
202,clueweb12-0305wb-95-20076,724,7,4
202,clueweb12-1115wb-60-25601,1538,9,231
202,clueweb12-0809wb-10-15178,1406,9,2
202,clueweb12-0900tw-27-15704,3196,6,0
202,clueweb12-0104wb-57-26599,2064,3,4
202,clueweb12-0111wb-82-16175,465,7,0
202,clueweb12-1304wb-62-13501,1488,3,0
202,clueweb12-0400tw-11-19082,981,7,75
202,clueweb12-1305wb-00-27580,412,5,0
202,clueweb12-0815wb-64-21898,926,2,121
202,clueweb12-1011wb-89-16132,1051,7,6
202,clueweb12-1400tw-68-02181,819,12,0
202,clueweb12-0809wb-89-07523,9980,4,0
202,clueweb12-1900tw-33-12824,955,10,60
202,clueweb12-0502wb-65-22527,335,9,141
202,clueweb12-0503wb-06-01803,335,9,141
202,clueweb12-0502wb-85-19374,335,9,141
202,clueweb12-1314wb-40-05225,245,9,0
202,clueweb12-1118wb-62-01765,1275,5,6
202,clueweb12-1706wb-21-14905,213,8,30
202,clueweb12-0000wb-30-27936,244,11,24
202,clueweb12-1009wb-18-00169,2024,12,127
202,clueweb12-0206wb-16-22957,301,5,44
202,clueweb12-0404wb-43-03460,372,3,6
202,clueweb12-0007wb-37-05166,1092,15,188
202,clueweb12-0607wb-52-08854,1092,15,148
202,clueweb12-0612wb-66-29076,478,8,44
202,clueweb12-0300wb-04-21283,363,3,1
202,clueweb12-0900tw-38-06478,488,9,12
202,clueweb12-1908wb-87-05618,1275,3,0
202,clueweb12-0702wb-44-04201,507,5,4
202,clueweb12-1004wb-52-14370,962,13,45
202,clueweb12-1105wb-65-18392,2246,29,80
202,clueweb12-0400tw-26-03936,413,8,62
202,clueweb12-0212wb-15-25356,682,9,410
202,clueweb12-0204wb-66-13464,645,7,24
202,clueweb12-0012wb-31-00097,472,5,40
202,clueweb12-1315wb-60-25009,435,8,227
202,clueweb12-0703wb-64-12446,1140,9,0
202,clueweb12-0906wb-90-22458,1124,9,40
202,clueweb12-0305wb-73-09000,767,5,5
202,clueweb12-1800tw-16-11800,296,8,6
202,clueweb12-0009wb-61-08932,302,6,0
202,clueweb12-1415wb-40-03869,701,6,151
202,clueweb12-0716wb-07-24100,554,3,12
202,clueweb12-0510wb-96-30728,1192,9,9
202,clueweb12-1117wb-75-07056,1310,9,14
202,clueweb12-1102wb-75-16220,350,2,14
202,clueweb12-1500wb-66-14018,636,1,4
202,clueweb12-0105wb-91-03965,565,11,172
202,clueweb12-0815wb-98-10077,402,3,4
202,clueweb12-1807wb-86-09003,3838,1,5
202,clueweb12-0912wb-48-24011,1348,4,10
202,clueweb12-0006wb-02-16302,908,6,36
202,clueweb12-1007wb-91-07147,862,7,2
203,clueweb12-1400tw-55-13237,1285,12,18
203,clueweb12-1007wb-38-22258,4324,12,159
203,clueweb12-0103wb-33-26806,4004,6,4
203,clueweb12-1700tw-41-12266,798,9,107
203,clueweb12-0002wb-56-15117,268,7,0
203,clueweb12-0712wb-43-02163,2340,6,0
203,clueweb12-1210wb-83-28574,2970,4,60
203,clueweb12-1800tw-54-04940,580,8,12
203,clueweb12-1405wb-01-18878,1140,6,4
203,clueweb12-1200tw-36-07532,963,8,0
203,clueweb12-0103wb-27-32640,638,10,0
203,clueweb12-1503wb-16-12246,1042,7,256
203,clueweb12-1616wb-24-00943,1905,6,262
203,clueweb12-1100tw-30-02547,523,8,0
203,clueweb12-0311wb-87-16614,552,11,18
203,clueweb12-1800tw-36-13939,623,16,2
203,clueweb12-1200tw-35-00658,1255,11,11
203,clueweb12-0001wb-17-00643,1769,9,75
203,clueweb12-0807wb-08-29218,1068,9,44
203,clueweb12-1514wb-35-27255,808,8,596
203,clueweb12-1800tw-44-09949,772,4,580
203,clueweb12-1003wb-95-22119,338,3,12
203,clueweb12-1511wb-62-11831,536,12,26
203,clueweb12-0800tw-51-23885,1166,5,51
203,clueweb12-0102wb-35-04103,928,10,183
203,clueweb12-0002wb-33-15556,432,11,24
203,clueweb12-0002wb-20-08962,432,11,24
203,clueweb12-1407wb-51-02430,3179,6,290
203,clueweb12-0002wb-05-12516,1022,5,48
203,clueweb12-1815wb-34-17034,1681,9,0
203,clueweb12-1902wb-06-04797,1534,9,0
203,clueweb12-0003wb-25-19194,650,12,63
203,clueweb12-1901wb-72-08479,1523,9,0
203,clueweb12-1902wb-22-12641,1446,9,0
203,clueweb12-0301tw-23-04341,304,6,40
203,clueweb12-0200tw-68-00089,1009,5,142
203,clueweb12-0202wb-60-09122,509,9,0
203,clueweb12-0500tw-26-08047,222,7,0
203,clueweb12-1107wb-86-24665,465,5,2
203,clueweb12-0006wb-64-23270,1529,9,17
203,clueweb12-1900tw-47-15481,1580,7,0
203,clueweb12-0005wb-75-04452,1870,6,0
203,clueweb12-0918wb-80-03907,487,6,0
203,clueweb12-0509wb-06-11124,375,10,28
203,clueweb12-1700tw-08-12581,756,9,8
203,clueweb12-1506wb-15-02973,364,4,4
203,clueweb12-0101wb-94-26017,357,2,34
203,clueweb12-0311wb-95-07417,885,5,0
203,clueweb12-0914wb-44-07104,535,9,37
203,clueweb12-0003wb-48-11669,684,8,76
203,clueweb12-1900tw-42-00061,940,14,0
203,clueweb12-1018wb-61-02085,1018,7,0
203,clueweb12-1312wb-99-06222,855,3,0
203,clueweb12-1800tw-37-21667,506,6,8
203,clueweb12-0900wb-33-10236,480,8,6
203,clueweb12-1300tw-38-16260,843,14,180
203,clueweb12-1503wb-38-28727,2215,5,0
203,clueweb12-0800tw-09-03472,687,17,0
203,clueweb12-0403wb-30-20219,1203,2,30
203,clueweb12-0919wb-35-04365,773,4,0
203,clueweb12-1003wb-11-06698,898,7,0
203,clueweb12-1414wb-68-11363,595,3,34
203,clueweb12-1617wb-17-11501,2340,11,66
203,clueweb12-0102wb-31-05423,704,6,15
203,clueweb12-0308wb-78-29717,487,7,10
203,clueweb12-1207wb-36-23201,2418,3,826
203,clueweb12-0609wb-45-30723,1429,3,154
203,clueweb12-1200tw-37-00673,401,9,42
203,clueweb12-0501wb-01-09771,2165,3,0
203,clueweb12-1410wb-95-08491,406,3,48
203,clueweb12-1200tw-74-13693,709,8,0
203,clueweb12-1300wb-35-07121,745,6,12
203,clueweb12-1405wb-22-16043,751,13,22
203,clueweb12-0305wb-49-06640,1022,4,16
203,clueweb12-1400tw-34-03508,415,9,18
203,clueweb12-0210wb-12-20721,893,6,0
203,clueweb12-0210wb-17-20746,893,6,0
203,clueweb12-1309wb-31-00313,605,9,20
203,clueweb12-1501wb-94-11940,136,5,0
203,clueweb12-0911wb-81-12075,787,10,9
203,clueweb12-1207wb-31-13159,2272,5,16
203,clueweb12-1500wb-48-08732,1268,5,0
203,clueweb12-0211wb-43-35222,541,5,4
203,clueweb12-1808wb-26-16413,75,2,2
203,clueweb12-1411wb-38-21870,1823,18,0
203,clueweb12-1515wb-93-32165,769,13,34
203,clueweb12-1400tw-21-17183,1851,22,0
203,clueweb12-0003wb-84-30868,845,13,0
203,clueweb12-0003wb-97-17800,841,13,93
203,clueweb12-0209wb-63-17124,545,7,50
203,clueweb12-1500tw-73-19431,2049,23,540
203,clueweb12-1800tw-20-02856,922,9,0
203,clueweb12-1410wb-84-11296,1974,20,44
203,clueweb12-0013wb-46-10058,3162,11,0
203,clueweb12-0803wb-85-02136,2005,13,0
203,clueweb12-1406wb-75-24823,1007,11,8
203,clueweb12-0310wb-22-09840,276,2,0
203,clueweb12-1115wb-16-25355,251,3,2
203,clueweb12-1115wb-28-24339,244,3,2
203,clueweb12-1300tw-56-10630,1281,5,39
204,clueweb12-1209wb-22-00167,858,6,8
204,clueweb12-0304wb-27-03544,588,5,28
204,clueweb12-1212wb-63-17269,815,2,5082
204,clueweb12-1208wb-62-05131,1120,5,1307
204,clueweb12-1210wb-17-01493,1082,3,480
204,clueweb12-1211wb-86-18507,1424,4,726
204,clueweb12-0005wb-65-23314,399,7,70
204,clueweb12-0300wb-98-20074,1272,11,0
204,clueweb12-1209wb-79-28735,957,5,1263
204,clueweb12-1801wb-68-09002,969,4,105
204,clueweb12-1214wb-14-27004,1025,2,6
204,clueweb12-1210wb-37-17086,1223,3,488
204,clueweb12-1211wb-30-02358,973,4,1272
204,clueweb12-1210wb-73-28398,979,3,412
204,clueweb12-1811wb-65-06425,1221,1,6
204,clueweb12-1211wb-53-27050,927,5,94
204,clueweb12-0207wb-85-00335,618,11,115
204,clueweb12-1212wb-42-29922,1075,4,155
204,clueweb12-1801wb-97-25922,1046,3,76
204,clueweb12-0202wb-25-15698,635,6,3
204,clueweb12-1912wb-52-13818,848,16,1420
204,clueweb12-0301wb-18-21387,965,9,40
204,clueweb12-1801wb-85-15691,4078,5,0
204,clueweb12-1500tw-44-16993,801,6,6
204,clueweb12-1209wb-88-20908,162,9,0
204,clueweb12-1007wb-11-00884,4395,8,12
204,clueweb12-0507wb-52-13388,729,8,67
204,clueweb12-1213wb-06-18859,799,2,276
204,clueweb12-0200wb-52-06045,660,4,301
204,clueweb12-0301wb-92-07679,786,3,2
204,clueweb12-1213wb-67-03123,169,9,3
204,clueweb12-0301wb-38-34520,1257,4,56
204,clueweb12-0301wb-43-25002,1155,6,0
204,clueweb12-1712wb-63-08995,1137,4,10
204,clueweb12-0612wb-33-04022,718,12,0
204,clueweb12-0209wb-92-06352,1090,3,15
204,clueweb12-1414wb-89-16666,587,12,40
204,clueweb12-1214wb-05-12168,628,2,4
204,clueweb12-0704wb-37-23358,990,3,10
204,clueweb12-1214wb-05-12154,1002,2,4
204,clueweb12-1214wb-14-27018,663,2,3
204,clueweb12-0210wb-74-28352,844,5,20
204,clueweb12-1912wb-09-13899,843,10,0
204,clueweb12-0603wb-72-20767,706,10,6084
204,clueweb12-1712wb-82-03184,1138,3,0
204,clueweb12-0304wb-49-17269,2238,9,0
204,clueweb12-0906wb-71-07152,2027,4,1
204,clueweb12-0305wb-38-08344,1973,11,0
204,clueweb12-0204wb-92-17336,399,5,0
204,clueweb12-1607wb-98-27514,619,2,12
204,clueweb12-1804wb-89-24145,687,2,2334
204,clueweb12-0201wb-83-20464,924,5,21
204,clueweb12-0611wb-96-11773,699,10,0
204,clueweb12-0300wb-90-13981,4362,10,0
204,clueweb12-0311wb-16-15162,2246,1,0
204,clueweb12-1500wb-02-11520,1395,25,29
204,clueweb12-0302wb-08-19033,1329,3,0
204,clueweb12-1216wb-39-22038,515,2,8
204,clueweb12-0305wb-54-22614,2099,7,0
204,clueweb12-1212wb-63-17255,595,2,1770
204,clueweb12-0305wb-73-18682,2201,8,0
204,clueweb12-1214wb-70-11842,556,2,8
204,clueweb12-0200tw-45-03773,695,2,0
204,clueweb12-1217wb-97-20198,1981,8,18
204,clueweb12-1213wb-51-00442,537,2,8
204,clueweb12-1214wb-79-30532,476,2,24
204,clueweb12-0305wb-38-08330,1944,10,0
204,clueweb12-1002wb-13-14971,484,3,1320
204,clueweb12-0703wb-39-16734,771,16,58
204,clueweb12-1213wb-59-14347,644,2,7
204,clueweb12-1215wb-29-30867,497,2,6
204,clueweb12-0109wb-25-33221,2314,3,576
204,clueweb12-1214wb-70-11828,632,2,11
204,clueweb12-0305wb-63-07113,2115,7,0
204,clueweb12-1007wb-11-00898,297,4,4
204,clueweb12-1216wb-31-19496,598,2,5
204,clueweb12-1214wb-75-09956,584,2,9
204,clueweb12-0602wb-06-32289,834,9,47
204,clueweb12-0404wb-40-14291,1410,4,12
204,clueweb12-0200tw-06-15386,373,8,0
204,clueweb12-0305wb-18-29087,2472,9,0
204,clueweb12-1216wb-35-01768,722,2,3
204,clueweb12-0304wb-61-02465,1852,8,0
204,clueweb12-1214wb-87-08035,603,2,14
204,clueweb12-0304wb-72-18496,2411,9,0
204,clueweb12-0304wb-89-20057,2646,11,0
204,clueweb12-0915wb-69-11139,293,11,87
204,clueweb12-0302wb-54-03735,593,5,85
204,clueweb12-0305wb-28-17975,2138,6,0
204,clueweb12-0305wb-73-18696,2473,6,0
204,clueweb12-0301wb-68-20779,540,3,10
204,clueweb12-1214wb-75-09942,661,2,8
204,clueweb12-1213wb-79-07563,774,2,9
204,clueweb12-1213wb-04-30495,602,2,30
204,clueweb12-0305wb-88-33877,1634,3,0
204,clueweb12-1215wb-42-02336,687,2,4
204,clueweb12-0705wb-15-12013,752,5,4
204,clueweb12-0200tw-05-19705,776,7,14
204,clueweb12-0405wb-90-29008,6591,14,27
204,clueweb12-1214wb-79-30547,681,2,5
205,clueweb12-0210wb-94-21302,692,11,56
205,clueweb12-0812wb-07-15129,1995,15,16
205,clueweb12-1700wb-57-08015,5076,9,0
205,clueweb12-0506wb-31-30726,1231,9,2
205,clueweb12-1303wb-72-10088,3035,11,9
205,clueweb12-0206wb-17-34429,1032,7,67
205,clueweb12-0403wb-95-09741,983,6,8
205,clueweb12-0205wb-05-02301,707,3,138
205,clueweb12-1000tw-21-20542,4340,3,15
205,clueweb12-1217wb-27-06974,1121,7,41
205,clueweb12-0100wb-18-24730,683,16,18
205,clueweb12-0812wb-84-19751,681,3,27
205,clueweb12-0800tw-07-18666,915,12,0
205,clueweb12-1901wb-60-07140,981,3,435
205,clueweb12-1614wb-35-28354,1013,6,44
205,clueweb12-1815wb-15-13913,807,4,0
205,clueweb12-1303wb-96-20823,41583,3,0
205,clueweb12-1005wb-55-01169,733,8,39
205,clueweb12-1013wb-53-22115,638,5,24
205,clueweb12-0810wb-66-22090,5330,6,2
205,clueweb12-0205wb-63-09334,1617,7,135
205,clueweb12-1103wb-56-03288,374,17,0
205,clueweb12-1810wb-70-01321,394,17,0
205,clueweb12-1810wb-66-08797,664,4,6
205,clueweb12-1706wb-00-20154,3276,5,14
205,clueweb12-1000wb-01-12448,380,16,0
205,clueweb12-1002wb-19-23101,392,16,0
205,clueweb12-1810wb-12-01690,418,17,0
205,clueweb12-1811wb-55-01626,816,6,2
205,clueweb12-1003wb-75-01113,420,15,0
205,clueweb12-0919wb-54-06748,408,16,0
205,clueweb12-1806wb-76-03254,583,6,0
205,clueweb12-0207wb-02-23039,2693,2,40
205,clueweb12-0207wb-31-18950,751,5,43
205,clueweb12-1107wb-99-00886,1827,13,28
205,clueweb12-0206wb-54-31406,4484,5,2415
205,clueweb12-1511wb-09-03101,478,9,0
205,clueweb12-0103wb-19-05305,1856,4,2
205,clueweb12-1900wb-60-17916,2244,5,0
205,clueweb12-1103wb-28-03808,2677,3,78
205,clueweb12-0817wb-12-17715,3474,6,22
205,clueweb12-1610wb-75-27202,4201,4,11
205,clueweb12-1101tw-07-17580,836,6,48
205,clueweb12-1100tw-15-19833,587,15,0
205,clueweb12-1100wb-42-09076,574,0,6
205,clueweb12-0103wb-33-14463,4376,6,2
205,clueweb12-0103wb-63-11308,558,5,0
205,clueweb12-0812wb-52-19993,1289,5,50
205,clueweb12-0011wb-86-00741,3747,14,4
205,clueweb12-1501wb-67-02282,915,3,7
205,clueweb12-0700tw-68-07494,7980,3,0
205,clueweb12-0408wb-60-05897,694,4,0
205,clueweb12-0300wb-06-02438,416,0,8
205,clueweb12-0611wb-39-28761,2285,5,0
205,clueweb12-1000wb-49-20156,629,15,0
205,clueweb12-0211wb-60-10100,6637,14,21
205,clueweb12-1607wb-55-12775,907,2,50
205,clueweb12-0007wb-87-07069,659,9,29
205,clueweb12-1500tw-21-11556,645,10,8
205,clueweb12-1216wb-93-05359,975,7,0
205,clueweb12-1806wb-56-00524,964,7,0
205,clueweb12-0009wb-62-07312,2616,11,6
205,clueweb12-1303wb-94-25019,999,11,0
205,clueweb12-0812wb-91-10125,659,4,65
205,clueweb12-0302wb-47-14952,482,7,9
205,clueweb12-1900wb-59-00786,373,5,26
205,clueweb12-1301wb-05-13794,887,14,330
205,clueweb12-1503wb-76-30400,948,3,36
205,clueweb12-1804wb-00-16312,651,10,0
205,clueweb12-1108wb-09-13541,646,8,0
205,clueweb12-1901wb-90-23627,612,5,4
205,clueweb12-1400tw-38-22911,677,9,0
205,clueweb12-0812wb-52-06008,559,3,18
205,clueweb12-1900wb-90-00478,995,6,39
205,clueweb12-1814wb-94-23466,609,7,0
205,clueweb12-1216wb-22-27788,654,7,0
205,clueweb12-0404wb-70-19541,2364,3,0
205,clueweb12-0104wb-27-28506,559,4,640
205,clueweb12-0305wb-02-20942,1703,8,5001
205,clueweb12-1410wb-76-13181,487,9,0
205,clueweb12-0110wb-55-13701,3636,9,0
205,clueweb12-1002wb-73-09735,919,13,42
205,clueweb12-1510wb-81-20753,700,5,16
205,clueweb12-0500wb-09-32854,2507,8,4
205,clueweb12-1805wb-95-21168,669,8,0
205,clueweb12-0202wb-46-14158,2352,7,0
205,clueweb12-0309wb-95-02179,3263,5,33
205,clueweb12-0100tw-78-02321,895,10,37
205,clueweb12-0411wb-17-33325,8227,3,7
205,clueweb12-1314wb-88-02117,1585,5,260
205,clueweb12-0403wb-96-16695,821,15,17
205,clueweb12-1910wb-99-20596,933,4,36
205,clueweb12-0600tw-43-11834,968,8,0
205,clueweb12-1805wb-91-06309,422,1,603
205,clueweb12-0210wb-45-26536,877,8,612
205,clueweb12-0300wb-61-13773,724,6,1188
205,clueweb12-1906wb-76-25446,4009,10,0
205,clueweb12-1716wb-68-15848,903,6,20
205,clueweb12-0700wb-46-24520,274,5,258
205,clueweb12-1308wb-23-28058,798,6,43
206,clueweb12-1807wb-92-09108,5738,5,276
206,clueweb12-1401wb-92-14851,3071,10,25
206,clueweb12-0009wb-54-01932,3990,5,142
206,clueweb12-1802wb-14-28735,1817,2,155
206,clueweb12-0301wb-43-35174,1947,10,35
206,clueweb12-1708wb-43-29773,1037,4,765
206,clueweb12-1013wb-23-08451,1173,28,918
206,clueweb12-0200wb-49-30845,3691,4,2
206,clueweb12-0902wb-67-05109,3149,14,132
206,clueweb12-0606wb-40-12197,3187,7,58
206,clueweb12-0601wb-00-13002,1854,7,90
206,clueweb12-0305wb-45-24379,956,5,5
206,clueweb12-1715wb-09-05563,1201,3,103
206,clueweb12-1910wb-84-20584,1665,4,696
206,clueweb12-1609wb-75-32288,3503,7,27
206,clueweb12-0200tw-11-14318,2288,6,0
206,clueweb12-0112wb-03-34120,1728,17,9
206,clueweb12-0203wb-45-19067,2482,11,32
206,clueweb12-1106wb-17-01171,5615,5,1404
206,clueweb12-0005wb-17-21841,1639,6,110
206,clueweb12-1807wb-78-16418,1786,5,287
206,clueweb12-0111wb-63-23423,702,4,4
206,clueweb12-1808wb-99-26779,818,9,166
206,clueweb12-1807wb-81-18491,1733,5,273
206,clueweb12-1807wb-82-17845,3161,5,262
206,clueweb12-1106wb-83-05894,5979,5,0
206,clueweb12-0701wb-09-18443,1004,6,60
206,clueweb12-0202wb-45-09328,863,2,768
206,clueweb12-0806wb-81-15917,1450,2,19
206,clueweb12-0300wb-34-10474,3327,6,0
206,clueweb12-1800wb-93-04336,3474,6,0
206,clueweb12-1807wb-64-20406,3563,5,288
206,clueweb12-0305wb-55-03096,591,5,2
206,clueweb12-1114wb-13-19872,1474,6,0
206,clueweb12-1019wb-10-10511,906,20,132
206,clueweb12-0713wb-59-09149,1749,19,0
206,clueweb12-0900wb-97-02702,3153,14,6
206,clueweb12-0109wb-90-32472,5695,6,159
206,clueweb12-0411wb-50-01478,1546,3,0
206,clueweb12-1115wb-71-11949,2742,7,0
206,clueweb12-1015wb-90-03018,1194,20,444
206,clueweb12-0700wb-82-11566,1004,6,60
206,clueweb12-0701wb-19-05868,1003,5,40
206,clueweb12-0905wb-03-05823,2080,8,13
206,clueweb12-1017wb-31-10178,1051,26,24
206,clueweb12-1808wb-64-03351,983,10,60
206,clueweb12-1013wb-02-03457,1202,27,840
206,clueweb12-0700tw-08-20360,3763,7,186
206,clueweb12-0302wb-94-07292,794,7,1692
206,clueweb12-1013wb-30-08243,1081,22,695
206,clueweb12-1704wb-23-31580,1961,27,20
206,clueweb12-1808wb-67-13668,1117,11,80
206,clueweb12-0500tw-08-08270,580,20,176
206,clueweb12-0304wb-43-11443,546,6,54
206,clueweb12-1013wb-73-01303,1131,29,301
206,clueweb12-0012wb-12-17968,352,12,640
206,clueweb12-1109wb-23-22213,11640,6,13
206,clueweb12-1908wb-89-33553,283,6,162
206,clueweb12-1116wb-20-28247,722,11,120
206,clueweb12-1607wb-50-02617,3568,8,70
206,clueweb12-1908wb-92-20410,3037,9,521
206,clueweb12-0401wb-25-00889,1425,11,36
206,clueweb12-0712wb-91-04819,945,7,6
206,clueweb12-1602wb-36-12966,1619,9,36
206,clueweb12-0000tw-00-21044,1423,5,2073
206,clueweb12-1018wb-98-10667,550,13,4
206,clueweb12-1802wb-46-27982,431,5,174
206,clueweb12-1213wb-72-11499,1183,5,74
206,clueweb12-1607wb-68-24959,1041,10,2
206,clueweb12-0305wb-62-05704,1767,12,10
